,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
65,Ethiopia,ETH,AFRO,REPORTING,2021-09-26,3535329.0,2046027.0,3.075,1.78,1489302.0,1.295,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-03-13,3.0
66,Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407.0,2632.0,126.529,75.567,1775.0,50.962,AstraZeneca - AZD1222,,1.0
67,Faroe Islands,FRO,EURO,OWID,2021-09-23,73872.0,37886.0,151.176,77.532,35986.0,73.644,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
68,Fiji,FJI,WPRO,REPORTING,2021-09-10,907249.0,568998.0,101.205,63.473,338251.0,37.732,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,SII - Covishield",2021-03-07,3.0
69,Finland,FIN,EURO,OWID,2021-09-26,7516670.0,4125076.0,136.041,74.658,3391594.0,61.383,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
70,France,FRA,EURO,OWID,2021-09-23,93817818.0,50069397.0,144.248,76.983,43892734.0,67.486,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
71,French Guiana,GUF,AMRO,REPORTING,2021-09-24,143779.0,77901.0,48.138,26.082,65878.0,22.056,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-13,2.0
72,French Polynesia,PYF,WPRO,REPORTING,2021-09-09,235567.0,147213.0,83.859,52.406,124635.0,44.369,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-18,2.0
73,Gabon,GAB,AFRO,REPORTING,2021-09-20,180320.0,102256.0,8.102,4.594,78064.0,3.507,Beijing CNBG - BBIBP-CorV,2021-03-23,1.0
74,Gambia,GMB,AFRO,REPORTING,2021-09-21,207195.0,183739.0,8.574,7.603,170920.0,7.073,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-10,2.0
75,Georgia,GEO,EURO,OWID,2021-09-26,1749457.0,971836.0,43.855,24.362,777621.0,19.493,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Sinovac - CoronaVac",,4.0
